image_path,folder_label,caption
images/New York_urls/image_193.jpg,New York_urls,a city street with buildings and a few cars
images/New York_urls/image_187.jpg,New York_urls,"new york, new york, new york, new york, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan, manhattan"
images/New York_urls/image_178.jpg,New York_urls,the new york times square
images/New York_urls/image_150.jpg,New York_urls,a flag flying over the water
images/New York_urls/image_144.jpg,New York_urls,the view from the top of the rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller
images/New York_urls/image_15.jpg,New York_urls,a boat is traveling across the water
images/New York_urls/image_29.jpg,New York_urls,"the empire building in new york, new york, ny"
images/New York_urls/image_28.jpg,New York_urls,the new york skyline with the new york skyline in the background
images/New York_urls/image_14.jpg,New York_urls,the brooklyn bridge is shown in this image
images/New York_urls/image_145.jpg,New York_urls,the city skyline at night
images/New York_urls/image_151.jpg,New York_urls,a city skyline with a cloudy sky
images/New York_urls/image_179.jpg,New York_urls,a view of the empire building from the top of the empire building
images/New York_urls/image_186.jpg,New York_urls,a factory with workers working on machines
images/New York_urls/image_192.jpg,New York_urls,the new york skyline at sunset
images/New York_urls/image_184.jpg,New York_urls,a street with cars and trees in the middle
images/New York_urls/image_190.jpg,New York_urls,the new york skyline
images/New York_urls/image_147.jpg,New York_urls,"the empire building in new york, new york"
images/New York_urls/image_153.jpg,New York_urls,a large body of water
images/New York_urls/image_16.jpg,New York_urls,the city at night
images/New York_urls/image_17.jpg,New York_urls,the new york skyline
images/New York_urls/image_152.jpg,New York_urls,the new york
images/New York_urls/image_146.jpg,New York_urls,a city skyline with a sunset in the background
images/New York_urls/image_191.jpg,New York_urls,the corner of a street in tokyo
images/New York_urls/image_185.jpg,New York_urls,the skyline of new york
images/New York_urls/image_181.jpg,New York_urls,the new york skyline at night
images/New York_urls/image_195.jpg,New York_urls,the city skyline at night
images/New York_urls/image_142.jpg,New York_urls,times square new york
images/New York_urls/image_156.jpg,New York_urls,a large body of water
images/New York_urls/image_13.jpg,New York_urls,the brooklyn skyline
images/New York_urls/image_12.jpg,New York_urls,a crowd of people walking down a busy street
images/New York_urls/image_157.jpg,New York_urls,the city skyline at night
images/New York_urls/image_143.jpg,New York_urls,"new york, new york, new york, new york, new york, new york, new york, new york, new york, new"
images/New York_urls/image_194.jpg,New York_urls,a street with a lot of buildings
images/New York_urls/image_180.jpg,New York_urls,statue of liberty with american flag
images/New York_urls/image_196.jpg,New York_urls,a city street with cars and buildings
images/New York_urls/image_182.jpg,New York_urls,a city street
images/New York_urls/image_155.jpg,New York_urls,a crosswalk in a city
images/New York_urls/image_141.jpg,New York_urls,a city street with cars and buildings
images/New York_urls/image_169.jpg,New York_urls,"new york, new york, new york, new york, new york, new york, new york, new york, new york, york"
images/New York_urls/image_38.jpg,New York_urls,a city skyline at night
images/New York_urls/image_10.jpg,New York_urls,the city of new york
images/New York_urls/image_11.jpg,New York_urls,"the chrysler building in new york, ny"
images/New York_urls/image_39.jpg,New York_urls,people walking across the street in front of the rockefeller rockefeller
images/New York_urls/image_168.jpg,New York_urls,a cathedral in the middle of a city
images/New York_urls/image_140.jpg,New York_urls,the view of new york from the air
images/New York_urls/image_154.jpg,New York_urls,"the empire building in new york, new york, ny"
images/New York_urls/image_183.jpg,New York_urls,times square new york
images/New York_urls/image_197.jpg,New York_urls,a city with a lot of buildings
images/New York_urls/image_133.jpg,New York_urls,a wooden walkway leading to the city skyline
images/New York_urls/image_127.jpg,New York_urls,a pond in a city
images/New York_urls/image_76.jpg,New York_urls,"aerial view of manhattan, new york, new york, new york, new york, new york, new york, new york, new york"
images/New York_urls/image_62.jpg,New York_urls,people relaxing in central park
images/New York_urls/image_89.jpg,New York_urls,a city with a lot of cherry trees
images/New York_urls/image_88.jpg,New York_urls,a street with buildings and a red bus
images/New York_urls/image_63.jpg,New York_urls,a large garden with angel statues and lights
images/New York_urls/image_77.jpg,New York_urls,a busy city street
images/New York_urls/image_126.jpg,New York_urls,a city skyline
images/New York_urls/image_132.jpg,New York_urls,people sitting on the ground in times square
images/New York_urls/image_118.jpg,New York_urls,new york skyline at sunset
images/New York_urls/image_124.jpg,New York_urls,a group of people walking down a street
images/New York_urls/image_130.jpg,New York_urls,a view of the city skyline from the water
images/New York_urls/image_61.jpg,New York_urls,a statue of liberty in front of the new york skyline
images/New York_urls/image_75.jpg,New York_urls,a busy city street
images/New York_urls/image_8.jpg,New York_urls,"the central park in new york, new york, ny"
images/New York_urls/image_49.jpg,New York_urls,the brooklyn bridge
images/New York_urls/image_48.jpg,New York_urls,"new york, new york, new york, new york, new york, new york, new york, new york, new york, new"
images/New York_urls/image_9.jpg,New York_urls,a map of new york
images/New York_urls/image_74.jpg,New York_urls,a large body of water
images/New York_urls/image_60.jpg,New York_urls,a map of hong
images/New York_urls/image_131.jpg,New York_urls,an aerial view of the new york skyline
images/New York_urls/image_125.jpg,New York_urls,the city skyline at night
images/New York_urls/image_119.jpg,New York_urls,"the statue of liberty in new york, ny"
images/New York_urls/image_121.jpg,New York_urls,"the central park in new york, new york, ny"
images/New York_urls/image_135.jpg,New York_urls,"the city skyline of new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, ny, ny, ny, usa"
images/New York_urls/image_109.jpg,New York_urls,"statue of liberty, new york, ny"
images/New York_urls/image_58.jpg,New York_urls,a grassy field
images/New York_urls/image_64.jpg,New York_urls,a group of people sitting at tables in a park
images/New York_urls/image_70.jpg,New York_urls,a view of the city from the top of a building
images/New York_urls/image_71.jpg,New York_urls,a street with a red crosswalk sign on it
images/New York_urls/image_65.jpg,New York_urls,a street in the city with buildings and buildings
images/New York_urls/image_59.jpg,New York_urls,a man and woman are standing in front of a statue of liberty
images/New York_urls/image_108.jpg,New York_urls,the brooklyn bridge and the manhattan skyline
images/New York_urls/image_134.jpg,New York_urls,the view of the city from the top of the building
images/New York_urls/image_120.jpg,New York_urls,the view from the top of the empire building
images/New York_urls/image_136.jpg,New York_urls,times square new york
images/New York_urls/image_122.jpg,New York_urls,the city skyline at sunset
images/New York_urls/image_73.jpg,New York_urls,the new york skyline at night
images/New York_urls/image_67.jpg,New York_urls,the street in downtown with people walking and walking on it
images/New York_urls/image_98.jpg,New York_urls,the skyline of new york
images/New York_urls/image_99.jpg,New York_urls,a busy city street
images/New York_urls/image_66.jpg,New York_urls,the dark knight movie poster
images/New York_urls/image_72.jpg,New York_urls,statue of liberty and the statue of liberty
images/New York_urls/image_123.jpg,New York_urls,new york skyline at sunset
images/New York_urls/image_137.jpg,New York_urls,a col of photos of the city skyline
images/New York_urls/image_112.jpg,New York_urls,a large billboard on the street
images/New York_urls/image_106.jpg,New York_urls,the view from the top of the empire building
images/New York_urls/image_57.jpg,New York_urls,"the skyline of new york, new york, and the lower manhattan"
images/New York_urls/image_2.jpg,New York_urls,the city skyline at night
images/New York_urls/image_43.jpg,New York_urls,a view of the city
images/New York_urls/image_94.jpg,New York_urls,a city skyline with a yellow sky background
images/New York_urls/image_80.jpg,New York_urls,"the statue of liberty in new york, new york"
images/New York_urls/image_81.jpg,New York_urls,the view from the top of the sha shai tower in the city of london
images/New York_urls/image_95.jpg,New York_urls,brooklyn bridge at night
images/New York_urls/image_42.jpg,New York_urls,the statue of liberty and the new york skyline
images/New York_urls/image_56.jpg,New York_urls,a map of the united states and new york
images/New York_urls/image_3.jpg,New York_urls,new york skyline new york skyline new york skyline new york skyline new york skyline new york skyline new york skyline
images/New York_urls/image_107.jpg,New York_urls,a person walking down the street in front of a building
images/New York_urls/image_113.jpg,New York_urls,a view of a city from a high altitude
images/New York_urls/image_139.jpg,New York_urls,"the skyline of new york, new york, ny"
images/New York_urls/image_105.jpg,New York_urls,a body of water
images/New York_urls/image_111.jpg,New York_urls,a rainbow over the city
images/New York_urls/image_40.jpg,New York_urls,a group of people walking across a bridge
images/New York_urls/image_1.jpg,New York_urls,"times square in new york, new york, ny"
images/New York_urls/image_54.jpg,New York_urls,the new york stock exchange
images/New York_urls/image_68.jpg,New York_urls,"the statue of liberty in new york, new york, new york, new york, new york, new york, new york, new york"
images/New York_urls/image_83.jpg,New York_urls,"the statue of liberty in new york, new york, ny"
images/New York_urls/image_97.jpg,New York_urls,a city street
images/New York_urls/image_96.jpg,New York_urls,a city street with tall buildings
images/New York_urls/image_82.jpg,New York_urls,a large christmas tree
images/New York_urls/image_69.jpg,New York_urls,a col of pictures of the city of new york
images/New York_urls/image_0.jpg,New York_urls,a street scene with a bus and people
images/New York_urls/image_55.jpg,New York_urls,the statue of liberty
images/New York_urls/image_41.jpg,New York_urls,a large white building
images/New York_urls/image_110.jpg,New York_urls,a large body of water
images/New York_urls/image_104.jpg,New York_urls,"the empire building in new york, ny"
images/New York_urls/image_138.jpg,New York_urls,a body of water
images/New York_urls/image_100.jpg,New York_urls,a street with cars and people walking on it
images/New York_urls/image_114.jpg,New York_urls,new york skyline at sunset
images/New York_urls/image_128.jpg,New York_urls,a city skyline
images/New York_urls/image_79.jpg,New York_urls,a city with tall buildings
images/New York_urls/image_45.jpg,New York_urls,a col of the brooklyn bridge and the brooklyn skyline
images/New York_urls/image_51.jpg,New York_urls,a view of the city from a high rise apartment
images/New York_urls/image_4.jpg,New York_urls,"the statue of liberty in new york, ny"
images/New York_urls/image_86.jpg,New York_urls,a view of the city skyline from the water
images/New York_urls/image_92.jpg,New York_urls,"aerial view of the city of new york, new york, new york, new york, new york, new york, new york, new"
images/New York_urls/image_93.jpg,New York_urls,a city skyline
images/New York_urls/image_87.jpg,New York_urls,a city street with cars and buildings
images/New York_urls/image_50.jpg,New York_urls,a city street with cars and people crossing
images/New York_urls/image_5.jpg,New York_urls,"the cover of the book, the city of new york"
images/New York_urls/image_44.jpg,New York_urls,a view of a city
images/New York_urls/image_101.png,New York_urls,a logo for the company
images/New York_urls/image_78.jpg,New York_urls,a person sitting on a ledge overlooking the city
images/New York_urls/image_129.jpg,New York_urls,the sydney skyline at night
images/New York_urls/image_115.jpg,New York_urls,the view from the top of the rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller rockefeller
images/New York_urls/image_117.jpg,New York_urls,a bridge over a river
images/New York_urls/image_103.jpg,New York_urls,"times square, new york"
images/New York_urls/image_7.jpg,New York_urls,the city skyline at night
images/New York_urls/image_52.jpg,New York_urls,new york - new york
images/New York_urls/image_46.jpg,New York_urls,a group of people crossing a street
images/New York_urls/image_91.jpg,New York_urls,a crowd of people walking through a busy city
images/New York_urls/image_85.jpg,New York_urls,"the empire building in new york, new york, new york, new york, new york, new york, new york, new york, new york, ny, ny, ny, ny, usa"
images/New York_urls/image_84.jpg,New York_urls,a city with many buildings and trees
images/New York_urls/image_90.jpg,New York_urls,a view of the city from the top of a building
images/New York_urls/image_47.jpg,New York_urls,"central park, new york"
images/New York_urls/image_6.jpg,New York_urls,a city with lots of buildings and a clock
images/New York_urls/image_53.jpg,New York_urls,"new york, new york, new york, new york, new york, new york, new york, new york, new york, new"
images/New York_urls/image_102.jpg,New York_urls,the city skyline at night
images/New York_urls/image_116.jpg,New York_urls,a bridge over a river
images/New York_urls/image_159.jpg,New York_urls,a city skyline with tall buildings
images/New York_urls/image_171.jpg,New York_urls,the statue of liberty
images/New York_urls/image_165.jpg,New York_urls,a park with flowers and trees in the fore
images/New York_urls/image_34.jpg,New York_urls,the city of new york at night
images/New York_urls/image_20.jpg,New York_urls,a street with cars parked on it
images/New York_urls/image_21.jpg,New York_urls,the city skyline at night
images/New York_urls/image_35.jpg,New York_urls,"the city skyline of new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, ny, ny, usa"
images/New York_urls/image_164.jpg,New York_urls,the manhattan skyline at night
images/New York_urls/image_170.jpg,New York_urls,a city skyline at night
images/New York_urls/image_158.jpg,New York_urls,the city skyline at night
images/New York_urls/image_199.jpg,New York_urls,the view from the top of the empire building in central park
images/New York_urls/image_166.jpg,New York_urls,a city skyline at night
images/New York_urls/image_172.jpg,New York_urls,a city skyline
images/New York_urls/image_23.jpg,New York_urls,a city with tall buildings
images/New York_urls/image_37.jpg,New York_urls,a river surrounded by trees
images/New York_urls/image_198.png,New York_urls,the flag of the netherlands
images/New York_urls/image_36.jpg,New York_urls,the city skyline at night
images/New York_urls/image_22.jpg,New York_urls,a city street with buildings and cars
images/New York_urls/image_173.jpg,New York_urls,a city skyline with a bridge over the water
images/New York_urls/image_167.jpg,New York_urls,a large building
images/New York_urls/image_188.jpg,New York_urls,the view of central park from the top of the hill
images/New York_urls/image_163.jpg,New York_urls,"new york skyline, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, new york, york"
images/New York_urls/image_177.jpg,New York_urls,a lake with trees and buildings in the background
images/New York_urls/image_26.jpg,New York_urls,the city skyline at dusk with a large sculpture in the fore
images/New York_urls/image_32.jpg,New York_urls,"the empire building in new york, new york, ny"
images/New York_urls/image_33.jpg,New York_urls,a street with cars and people walking on it
images/New York_urls/image_27.jpg,New York_urls,a bridge over a river
images/New York_urls/image_176.jpg,New York_urls,a view of the city from a high rise
images/New York_urls/image_162.jpg,New York_urls,"new york, new york, new york, new york, new york, new york, new york, new york, new york, york"
images/New York_urls/image_189.jpg,New York_urls,times square taxi cab
images/New York_urls/image_174.jpg,New York_urls,a view of the city of london
images/New York_urls/image_160.jpg,New York_urls,a large body of water
images/New York_urls/image_148.jpg,New York_urls,a city skyline
images/New York_urls/image_19.jpg,New York_urls,a city skyline at night
images/New York_urls/image_31.jpg,New York_urls,the city skyline
images/New York_urls/image_25.jpg,New York_urls,new york city map
images/New York_urls/image_24.jpg,New York_urls,the statue of liberty
images/New York_urls/image_30.jpg,New York_urls,a park with a lot of trees and buildings
images/New York_urls/image_18.jpg,New York_urls,a city street with people walking and cars
images/New York_urls/image_149.jpg,New York_urls,a city street with cars and buildings
images/New York_urls/image_161.jpg,New York_urls,a city skyline at night
images/New York_urls/image_175.jpg,New York_urls,times square new york
images/Ho Chi Minh City_urls/image_193.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline with a body of water in the foreground and a body of water in the foreground
images/Ho Chi Minh City_urls/image_187.jpg,Ho Chi Minh City_urls,there is a clock tower on the side of a building in the middle of a street with cars parked in front of it
